"","temp2.Liczba_pokoi","temp2.Cena4m2"
"245",3,4437.5
"246",3,6209.67741935484
"247",3,5764.70588235294
"248",3,5590.57730590577
"249",3,4609.375
"250",3,4382.02247191011
"251",3,4921.875
"252",3,4241.13475177305
"253",3,5541.66666666667
"254",3,4680.13468013468
"255",5,4539.16412953224
"256",3,5578.46153846154
"257",3,5548.38709677419
"258",3,5582.08955223881
"259",5,3300
"260",3,4303.79746835443
"261",3,6189.65517241379
"262",4,3913.38582677165
"263",3,5230.76923076923
"264",3,5867.01352757544
"265",3,5510.63829787234
"266",3,5327.86885245902
"267",3,5937.5
"268",3,5816.66666666667
"269",3,4659.4982078853
"270",3,6200
"271",3,5762.71186440678
"272",3,5067.79661016949
"273",4,5574.32432432432
"274",3,5161.29032258064
"275",4,5250
"276",3,5812.5
"277",3,5499.00081900082
"278",4,5576.92307692308
"279",4,6019.7549770291
"280",4,5546.2962962963
"281",3,5992.27606826959
"282",4,5627.27272727273
"283",4,4141.41414141414
"284",3,5370.37037037037
"285",3,5245.90163934426
"286",4,5815.78947368421
"287",3,5960
"288",4,5119.21458625526
"289",3,5900
"290",3,6100
"291",3,5833.33333333333
"292",4,4990
"293",4,4060.07751937984
"294",4,5844.68412942989
"295",3,4411.76470588235
"296",5,5888.88888888889
"297",3,4071.42857142857
"298",3,5851.06382978723
"299",3,6050.00960984048
"300",4,5048.19277108434
"301",3,4145.07772020725
"302",4,3446.5780403742
"303",3,5976.09561752988
"304",3,4780.82191780822
"305",4,4843.75
"306",5,5469.93911719939
"307",4,3967.74193548387
"308",3,5902.20314735336
"309",4,5848.7861495309
"310",3,5045.87155963303
"311",4,4266.66666666667
"312",3,6050.0092575449
"313",3,4465.31791907514
"314",4,4285.71428571429
"315",4,3923.36696219301
"316",3,6102.00593057736
"317",3,5368.58974358974
"318",6,6109.82211910286
"319",3,5453.125
"320",4,5263.14736842105
"321",3,5750
"322",3,3933.33333333333
"323",3,5800
"324",4,4697.98657718121
"325",6,5925.15592515592
"326",3,6050.00966557124
"327",3,5924.59854014599
"328",4,5063.49206349206
"329",4,4748.98236092266
"330",3,4483.87096774194
"331",3,5847.45762711864
"332",3,5981.5668202765
"333",3,5760.00320102433
"334",4,5704.00822199383
"335",3,3563.08411214953
"336",4,4375
"337",3,3989.52749033786
"338",3,5188.67924528302
"339",3,5377.35849056604
"340",5,0.0100240577385726
"341",3,6050
"342",4,5307.69230769231
"343",4,3446.5780403742
"344",3,5893.93939393939
"345",3,4416.66666666667
"346",4,5129.65050732807
"347",3,5351.85185185185
"348",3,5520.83333333333
"349",3,5865.33333333333
"350",4,5546.2962962963
"351",5,3272.31121281465
"352",4,5245.90163934426
"353",3,5730.02754820937
"354",4,5659.99366487171
"355",3,6100
"356",3,4102.5641025641
"357",3,4629.62962962963
"358",3,4643.83561643836
"359",3,5279.41176470588
"360",3,3815.78947368421
"361",3,5860.00832292967
"362",4,3920
"363",3,5734.75056689342
"364",4,5136.84210526316
"365",3,6200
"366",4,5811.80811808118
"367",3,4656.25
"368",3,4784
"369",3,4745.04249291785
"370",3,6184.02219950343
"371",3,5000
"372",3,5691.5953307393
"373",3,5288.46153846154
"374",4,4932.43243243243
"375",3,6250
"376",3,6050.00960984048
"377",3,5806.45161290323
"378",3,5263.15789473684
"379",3,4403.13111545988
"380",3,2523.80952380952
"381",3,4625.19936204147
"382",3,4928.22966507177
"383",3,3086.70699550178
"384",4,4998.38709677419
"385",3,4260.86956521739
"386",3,5965.79110651499
"387",3,3333.33333333333
"388",3,5037.4531835206
"389",3,5581.39534883721
"390",3,5254.23728813559
"391",4,4781.25
"392",3,5596.49122807018
"393",3,5861.34453781513
